   21.030, 0.5128, 0.5511,  3.96576,  3.97747,    10.00,  89.85,   0.12, 
   21.543, 0.5106, 0.5523,  3.96209,  3.97444,    10.00,  89.85,   0.12, 
   22.056, 0.5085, 0.5536,  3.95816,  3.97114,    10.00,  89.85,   0.13, 
   22.569, 0.5064, 0.5548,  3.95399,  3.96756,    10.00,  89.85,   0.14, 
   23.082, 0.5042, 0.5560,  3.94960,  3.96369,    10.00,  89.85,   0.14, 
   23.595, 0.5021, 0.5573,  3.94500,  3.95956,    10.00,  89.85,   0.15, 
   24.108, 0.5000, 0.5585,  3.94023,  3.95518,    10.00,  89.85,   0.15, 
   24.621, 0.4979, 0.5598,  3.93532,  3.95056,    10.00,  89.85,   0.15, 
   25.134, 0.4957, 0.5610,  3.93030,  3.94575,    10.00,  89.85,   0.15, 
   25.647, 0.4936, 0.5623,  3.92523,  3.94077,    10.00,  89.85,   0.16, 
   26.160, 0.4915, 0.5635,  3.92014,  3.93566,    10.00,  89.85,   0.16, 
   26.673, 0.4893, 0.5648,  3.91508,  3.93048,    10.00,  89.85,   0.15, 
   27.186, 0.4872, 0.5660,  3.91010,  3.92526,    10.00,  89.85,   0.15, 
   27.699, 0.4851, 0.5673,  3.90523,  3.92006,    10.00,  89.85,   0.15, 
   28.212, 0.4830, 0.5685,  3.90051,  3.91492,    10.00,  89.85,   0.14, 
   28.725, 0.4808, 0.5698,  3.89598,  3.90988,    10.00,  89.85,   0.14, 
   29.238, 0.4787, 0.5710,  3.89166,  3.90499,    10.00,  89.85,   0.13, 
   29.751, 0.4766, 0.5722,  3.88757,  3.90029,    10.00,  89.85,   0.13, 
   30.264, 0.4745, 0.5735,  3.88372,  3.89580,    10.00,  89.85,   0.12, 
   30.777, 0.4723, 0.5747,  3.88013,  3.89154,    10.00,  89.85,   0.11, 
   31.290, 0.4702, 0.5760,  3.87678,  3.88753,    10.00,  89.85,   0.11, 
   31.803, 0.4681, 0.5772,  3.87369,  3.88378,    10.00,  89.85,   0.10, 
   32.316, 0.4659, 0.5785,  3.87083,  3.88028,    10.00,  89.85,   0.09, 
   32.829, 0.4638, 0.5797,  3.86821,  3.87705,    10.00,  89.85,   0.09, 
   33.342, 0.4617, 0.5810,  3.86579,  3.87406,    10.00,  89.85,   0.08, 
   33.855, 0.4596, 0.5822,  3.86358,  3.87131,    10.00,  89.85,   0.08, 
   34.368, 0.4574, 0.5835,  3.86154,  3.86879,    10.00,  89.85,   0.07, 
   34.881, 0.4553, 0.5847,  3.85967,  3.86647,    10.00,  89.85,   0.07, 
   35.394, 0.4532, 0.5859,  3.85793,  3.86434,    10.00,  89.85,   0.06, 
   35.907, 0.4510, 0.5872,  3.85633,  3.86238,    10.00,  89.85,   0.06, 
   36.420, 0.4489, 0.5884,  3.85484,  3.86058,    10.00,  89.85,   0.06, 
   36.933, 0.4468, 0.5897,  3.85344,  3.85891,    10.00,  89.85,   0.05, 
   37.446, 0.4447, 0.5909,  3.85212,  3.85736,    10.00,  89.85,   0.05, 
   37.959, 0.4425, 0.5922,  3.85086,  3.85591,    10.00,  89.85,   0.05, 
   38.472, 0.4404, 0.5934,  3.84966,  3.85454,    10.00,  89.85,   0.05, 
   38.985, 0.4383, 0.5947,  3.84850,  3.85325,    10.00,  89.85,   0.05, 
   39.498, 0.4361, 0.5959,  3.84738,  3.85201,    10.00,  89.85,   0.05, 
   40.011, 0.4340, 0.5972,  3.84628,  3.85083,    10.00,  89.85,   0.05, 
   40.524, 0.4319, 0.5984,  3.84520,  3.84968,    10.00,  89.85,   0.04, 
   41.037, 0.4298, 0.5996,  3.84413,  3.84856,    10.00,  89.85,   0.04, 
   41.550, 0.4276, 0.6009,  3.84306,  3.84746,    10.00,  89.85,   0.04, 
   42.063, 0.4255, 0.6021,  3.84199,  3.84637,    10.00,  89.85,   0.04, 
   42.576, 0.4234, 0.6034,  3.84092,  3.84529,    10.00,  89.85,   0.04, 
   43.089, 0.4212, 0.6046,  3.83984,  3.84421,    10.00,  89.85,   0.04, 
   43.602, 0.4191, 0.6059,  3.83875,  3.84313,    10.00,  89.85,   0.04, 
   44.115, 0.4170, 0.6071,  3.83765,  3.84204,    10.00,  89.85,   0.04, 
   44.628, 0.4149, 0.6084,  3.83653,  3.84094,    10.00,  89.85,   0.04, 
   45.141, 0.4127, 0.6096,  3.83540,  3.83983,    10.00,  89.85,   0.04, 
   45.654, 0.4106, 0.6109,  3.83425,  3.83871,    10.00,  89.85,   0.04, 
   46.167, 0.4085, 0.6121,  3.83309,  3.83758,    10.00,  89.85,   0.04, 
   46.680, 0.4064, 0.6133,  3.83190,  3.83642,    10.00,  89.85,   0.05, 
   47.193, 0.4042, 0.6146,  3.83070,  3.83525,    10.00,  89.85,   0.05, 
   47.706, 0.4021, 0.6158,  3.82949,  3.83406,    10.00,  89.85,   0.05, 
   48.219, 0.4000, 0.6171,  3.82825,  3.83286,    10.00,  89.85,   0.05, 
   48.732, 0.3978, 0.6183,  3.82700,  3.83164,    10.00,  89.85,   0.05, 
   49.245, 0.3957, 0.6196,  3.82574,  3.83040,    10.00,  89.85,   0.05, 
   49.758, 0.3936, 0.6208,  3.82446,  3.82914,    10.00,  89.85,   0.05, 
